date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:12:54	181/181	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20May%202018%2005:12:56%20GMT	https://crypto-bridge.org/robots.txt		(from )
01:12:55	26188/26188	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2005:12:56%20GMT	https://crypto-bridge.org/	C:/My%20Web%20Sites/cb/crypto-bridge.org/index.html	(from )
01:12:55	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/My%20Web%20Sites/cb/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://crypto-bridge.org/)
01:12:56	16435/16435	---M-Z	200	added ('OK')	text/css	etag:%224033-56b5f5cfad48b-gzip%22	https://crypto-bridge.org/css/themify-icons.css	C:/My%20Web%20Sites/cb/crypto-bridge.org/css/themify-icons.css	(from https://crypto-bridge.org/)
01:12:56	117150/117150	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.2/css/bootstrap.min.css	C:/My%20Web%20Sites/cb/maxcdn.bootstrapcdn.com/bootstrap/3.3.2/css/bootstrap.min.css	(from https://crypto-bridge.org/)
01:12:56	21521/21521	---M-Z	200	added ('OK')	text/css	etag:%225411-56c76b22832f2-gzip%22	https://crypto-bridge.org/css/style.default.css	C:/My%20Web%20Sites/cb/crypto-bridge.org/css/style.default.css	(from https://crypto-bridge.org/)
01:12:57	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-56b5f5cfc99aa%22	https://crypto-bridge.org/favicon.ico	C:/My%20Web%20Sites/cb/crypto-bridge.org/favicon.ico	(from https://crypto-bridge.org/)
01:12:57	17660/17660	---M--	200	added ('OK')	image/png	etag:%2244fc-56b5f5cb2bf72%22	https://crypto-bridge.org/apple-touch-icon.png	C:/My%20Web%20Sites/cb/crypto-bridge.org/apple-touch-icon.png	(from https://crypto-bridge.org/)
01:12:57	2304/2304	---M--	200	added ('OK')	image/png	etag:%22900-56b5f5cfc6aca%22	https://crypto-bridge.org/favicon-32x32.png	C:/My%20Web%20Sites/cb/crypto-bridge.org/favicon-32x32.png	(from https://crypto-bridge.org/)
01:12:58	1363/1363	---M--	200	added ('OK')	image/png	etag:%22553-56b5f5cfc6aca%22	https://crypto-bridge.org/favicon-16x16.png	C:/My%20Web%20Sites/cb/crypto-bridge.org/favicon-16x16.png	(from https://crypto-bridge.org/)
01:12:58	403/403	---MCZ	200	added ('OK')	application/json	etag:W/%22193-56b5f5d1ac067%22	https://crypto-bridge.org/manifest.json	C:/My%20Web%20Sites/cb/crypto-bridge.org/manifest.json	(from https://crypto-bridge.org/)
01:13:00	2199/2199	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2013:17:07%20GMT	http://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/My%20Web%20Sites/cb/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://crypto-bridge.org/)
01:13:00	10899/10899	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222a93-56b5f5d1baac7%22	https://crypto-bridge.org/safari-pinned-tab.svg	C:/My%20Web%20Sites/cb/crypto-bridge.org/safari-pinned-tab.svg	(from https://crypto-bridge.org/)
01:13:00	1357/1357	---M-Z	200	added ('OK')	text/css	etag:%2254d-56b5f5cfa096b-gzip%22	https://crypto-bridge.org/css/accordion.css	C:/My%20Web%20Sites/cb/crypto-bridge.org/css/accordion.css	(from https://crypto-bridge.org/)
01:13:01	1825/1825	---M-Z	200	added ('OK')	text/css	etag:%22721-56b5f5cfad48b-gzip%22	https://crypto-bridge.org/css/normalize.css	C:/My%20Web%20Sites/cb/crypto-bridge.org/css/normalize.css	(from https://crypto-bridge.org/)
01:13:01	241/241	---M-Z	200	added ('OK')	text/css	etag:%22f1-56b5f5cfa672b-gzip%22	https://crypto-bridge.org/css/component.css	C:/My%20Web%20Sites/cb/crypto-bridge.org/css/component.css	(from https://crypto-bridge.org/)
01:13:03	134866/134866	---M-Z	200	added ('OK')	text/javascript	etag:W/%2220ed2-gJ5mTxPdVKW31vd+sWgpYA%22	http://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/cb/platform-api.sharethis.com/js/sharethis.js	(from https://crypto-bridge.org/)
01:13:03	7761/7761	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e51-56b5f5cfe8daa%22	https://crypto-bridge.org/img/cryptobridge-logo.svg	C:/My%20Web%20Sites/cb/crypto-bridge.org/img/cryptobridge-logo.svg	(from https://crypto-bridge.org/)
01:13:04	208/208	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20May%202018%2005:13:05%20GMT	https://crypto-bridge.org/index.html	C:/My%20Web%20Sites/cb/crypto-bridge.org/index-2.html	(from https://crypto-bridge.org/)
01:13:04	4911/4911	---M--	200	added ('OK')	image/png	etag:%22132f-56b5f5cfdb2ea%22	https://crypto-bridge.org/img/logo.png	C:/My%20Web%20Sites/cb/crypto-bridge.org/img/logo.png	(from https://crypto-bridge.org/)
01:13:04	16776/16776	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2005:13:06%20GMT	https://crypto-bridge.org/addcoin.php	C:/My%20Web%20Sites/cb/crypto-bridge.org/addcoin.html	(from https://crypto-bridge.org/)
01:13:05	56753/56753	---M--	200	added ('OK')	image/png	etag:%22ddb1-56b5f5cfe2fea%22	https://crypto-bridge.org/img/template-homepage.png	C:/My%20Web%20Sites/cb/crypto-bridge.org/img/template-homepage.png	(from https://crypto-bridge.org/)
